País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Northern Mariana Islands*,MNP,580,2005,15977,21565
   Palau,PLW,585,2005,3620,2423
   American Samoa*,ASM,16,2005,12498,11735
   Cook Islands*,COK,184,2005,1724,1553
   French Polynesia*,PYF,258,2005,18405,13881
   Niue*,NIU,570,2005,282,240
   Samoa,WSM,882,2005,2940,2806
   Tokelau*,TKL,772,2005,500,503
   Tonga,TON,776,2005,2324,1977
   Tuvalu,TUV,798,2005,115,94
   Wallis and Futuna Islands*,WLF,876,2005,1107,1084
   Burundi,BY,108,2010,121762,125559
   Comoros,COM,174,2010,6060,6558
   Djibouti,DJI,262,2010,53669,48638
   Eritrea,ERI,232,2010,8679,7134
   Ethiopia,ETH,231,2010,298069,270679
   Kenya,KEN,404,2010,473093,481832
   Madagascar,MDG,450,2010,16410,12495
   Malawi,MWI,454,2010,103869,113853
   Mauritius*,MUS,480,2010,13188,11648
   Mayotte*,MYT,175,2010,34500,38257
   Mozambique,MOZ,508,2010,148105,158366
   Réunion*,REU,638,2010,62707,60322
   Rwanda,RWA,646,2010,214048,212853
   Seychelles,SYC,690,2010,7804,3616
   Somalia,SOM,706,2010,25213,22893
   South Sudan,SSD,728,2010,119106,111626
   Uganda,UGS,800,2010,241903,251027
   United Republic of Tanzania*,TZA,834,2010,154591,155256
   Zambia,ZMB,894,2010,75941,74021
   Zimbabwe,ZWE,716,2010,227201,171106
   Angola,AGO,24,2010,162332,174035
   Cameroon,CMR,120,2010,161485,129989
   Central African Republic,CAF,140,2010,50411,44274
   Chad,TCD,148,2010,186821,230213
   Congo,COG,178,2010,231105,194068
   Democratic Republic of the Congo,COD,180,2010,284693,305189
   Equatorial Guinea,GNQ,226,2010,4734,3924
   Gabon,GAB,266,2010,158680,112149
   Sao Tome and Principe,STP,678,2010,1352,1348
   Algeria,DZA,12,2010,114894,102374
   Egypt,EGY,818,2010,174104,135913
   Libya,LBY,434,2010,491303,195889
   Morocco,MAR,504,2010,35881,35308
   Sudan,SND,729,2010,314552,304157
   Tunisia,TUN,788,2010,22236,20936
   Western Sahara,ESH,732,2010,2612,1881
   Botswana,BWA,72,2010,54019,40844
   Eswatini,SWZ,748,2010,16790,15847
   Lesotho,LSO,426,2010,3469,2945
   Namibia,NAM,516,2010,55803,48023
   South Africa,ZAF,710,2010,1221739,893062
   Benin,BEN,204,2010,143632,165593
   Burkina Faso,BFA,854,2010,320939,353499
   Cabo Verde,CPV,132,2010,7293,7080
   Côte d'Ivoire,CIV,384,2010,1310459,1056078
   Gambia,GMB,270,2010,98123,87714
   Ghana,GHA,288,2010,180030,157736
   Guinea,GIN,324,2010,93267,85495
   Guinea-Bissau,GNB,624,2010,10463,10928
   Liberia,LBR,430,2010,56902,42263
   Mali,MLI,466,2010,173088,167990
   Mauritania,MRT,478,2010,48746,36174
   Niger,NER,562,2010,60042,66440
   Nigeria,NGA,566,2010,576648,413846
   Saint Helena*,SHN,654,2010,136,112
   Senegal,SEN,686,2010,135879,120213
   Sierra Leone,SLE,694,2010,43622,35643
   Togo,TGO,768,2010,129424,126140
   Kazakhstan,KAZ,398,2010,1625155,1709782
   Kyrgyzstan,KGZ,417,2010,94596,137469
   Tajikistan,TJK,762,2010,121780,158028
   Turkmenistan,TKM,795,2010,90634,107345
   Uzbekistan,UZB,860,2010,558379,661770
   China*,CHN,156,2010,505758,344103
"   China, Hong Kong SAR*",HKG,344,2010,1147539,1632411
"   China, Macao SAR*",MAC,446,2010,146407,172099
"   China, Taiwan Province of China*",TWN,158,2010,0,0
   Dem. People's Republic of Korea,PRK,408,2010,21766,22244
   Japan,JPN,392,2010,972481,1161670
   Mongolia,MNG,496,2010,11880,4182
   Republic of Korea,KOR,410,2010,515503,404484
   Brunei Darussalam,BRN,96,2010,56723,43864
   Cambodia,KHM,116,2010,43412,38616
   Indonesia,IDN,360,2010,176522,130965
   Lao People's Democratic Republic,LAO,418,2010,20133,12822
   Malaysia*,MYS,458,2010,1469977,947418
   Myanmar,MMR,104,2010,41574,34840
   Philippines,PHL,608,2010,107933,100666
   Singapore,SGP,702,2010,956856,1207938
   Thailand,THA,764,2010,1629881,1604500
   Timor-Leste,TLS,626,2010,5837,5703
   Viet Nam,VNM,704,2010,35971,25785
   Afghanistan,AFG,4,2010,57726,44550
   Bangladesh,BGD,50,2010,710548,634998
   Bhutan,BTN,64,2010,39283,9137
   India,IND,356,2010,2699495,2874523
   Iran (Islamic Republic of),IRN,364,2010,1490419,1231978
   Maldives,MDV,462,2010,41712,12947
   Nepal,NPL,524,2010,191167,390722
   Pakistan,PAK,586,2010,2075512,1868169
   Sri Lanka,LKA,144,2010,20694,18265
   Armenia,ARM,51,2010,85669,125478
   Azerbaijan*,AZE,31,2010,129512,147389
   Bahrain,BHR,48,2010,481344,185062
   Cyprus*,CYP,196,2010,82477,105995
   Georgia*,GEO,268,2010,31993,41085
   Iraq,IRQ,368,2010,74535,45931
   Israel,ISR,376,2010,892887,1063303
   Jordan,JOR,400,2010,1416784,1370069
   Kuwait,KWT,414,2010,1312111,562701
   Lebanon,LBN,422,2010,413057,380134
   Oman,OMN,512,2010,658753,157481
   Qatar,QAT,634,2010,1206571,249842
   Saudi Arabia,SAU,682,2010,5933281,2496675
   State of Palestine*,PSE,275,2010,124660,149180
   Syrian Arab Republic,SYR,760,2010,910982,872613
   Turkey,TUR,792,2010,629868,743881
   United Arab Emirates,ARE,784,2010,5463446,1853251
   Yemen,YEM,887,2010,156123,132271
   Belarus,BLR,112,2010,499384,590994
   Bulgaria,BGR,100,2010,33841,42446
   Czechia,CZE,203,2010,236160,162333
   Hungary,HUN,348,2010,210212,226404
   Poland,POL,616,2010,262263,380154
   Republic of Moldova*,MDA,498,2010,52198,77290
   Romania,ROU,642,2010,87667,89544
   Russian Federation,RUS,643,2010,5514401,5680309
   Slovakia,SVK,703,2010,66938,79381
   Ukraine*,UKR,804,2010,2072474,2746293
   Channel Islands*,CHA,830,2010,36982,40599
   Denmark*,DNK,208,2010,242029,258743
   Estonia,EST,233,2010,87644,130246
   Faroe Islands*,FRO,234,2010,2700,2396
   Finland*,FIN,246,2010,115105,113376
   Iceland,ISL,352,2010,17619,17472
   Ireland,IRL,372,2010,360440,370102
   Isle of Man*,IMN,833,2010,21361,22086
   Latvia,LVA,428,2010,124675,189111
   Lithuania,LTU,440,2010,69606,91166
   Norway*,NOR,578,2010,267235,257366
   Sweden,SWE,752,2010,648004,689210
   United Kingdom*,GBR,826,2010,3454456,3665208
   Albania,ALB,8,2010,26901,25883
   Andorra,AND,20,2010,27287,24766
