,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
1440,Mediterranean,2016,,84,1.0,,,,Mixed,Unknown,Central Mediterranean,"33.4165331, 16.2301914"
1441,North America,2016,2.0,2,4.0,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.74410414, -114.7250593434"
1442,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.7321844, 36.6132723"
1443,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1444,North America,2016,1.0,1,,,1.0,,Central America,El Salvador,US-Mexico border crossing,"31.3649014, -111.0671389"
1445,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"1.1344998, 42.4662352"
1446,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"0.4930161, 42.7726829"
1447,Mediterranean,2016,4.0,90,30.0,,,,Mixed,Unknown,Central Mediterranean,"32.7703544, 12.376176"
1448,Europe,2016,1.0,1,,,1.0,,Southern Asia,Afghanistan,English Channel to the UK,"50.9518803, 1.8339367"
1449,Mediterranean,2016,9.0,9,127.0,,,,Unknown,Unknown,Central Mediterranean,"31.6509306, 30.6261692"
1450,Central America,2016,4.0,4,,,,1.0,Central America,El Salvador,,"15.3179289, -91.4971903"
1451,Central America,2016,1.0,1,,,1.0,,Central America,El Salvador,,"16.2907501, -94.1986669"
1452,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"19.6438237, 24.4293268"
1453,Northern Africa,2016,2.0,2,,,,,Unknown,Unknown,,"32.89182212, 13.2050712102"
1454,Northern Africa,2016,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"26.87986026, 14.7805861"
1455,Northern Africa,2016,2.0,2,,,,,Unknown,Unknown,,"32.7811016, 12.4495221"
1456,Northern Africa,2016,3.0,3,,,,,Unknown,Unknown,Sahara Desert crossing,"23.84636296, 3.9887275625"
1457,Central America,2016,1.0,1,,,1.0,,Central America,El Salvador,,"16.748864, -92.9281107"
1458,Europe,2016,1.0,1,,,1.0,,Western Asia,Iraq,English Channel to the UK,"51.7443629, -1.4500839"
1459,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.423462, -113.138344"
1460,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.329483, -112.115617"
1461,Caribbean,2016,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),Venezuela to Caribbean,"12.4281058, -69.9149146"
1462,Central America,2016,1.0,1,,,1.0,,Central America,Guatemala,US-Mexico border crossing,"27.4531416, -99.6148525"
1463,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.6473881, -106.3496958"
1464,Central America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,,"20.5730306, -100.2090209"
1465,Western Asia,2016,2.0,2,,,2.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.4614791, 37.1258349"
1466,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.888497, -111.385941"
1467,North America,2016,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.95437, -112.14965"
1468,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.85458989, 40.0606584859"
1469,Northern Africa,2016,5.0,5,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"21.9464708, 30.8143955"
1470,Northern Africa,2016,7.0,7,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1471,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.80408, -112.10063"
1472,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.0227177, -98.2979141"
1473,Central America,2016,1.0,1,2.0,,1.0,,Latin America / Caribbean (P),Unknown,,"17.2645349, -91.001789"
1474,Mediterranean,2016,5.0,9,5.0,4.0,,1.0,Western / Southern Asia (P),Unknown,Eastern Mediterranean,"37.7245805, 26.6778283"
1475,Central America,2016,1.0,1,,,1.0,,Central America,Honduras,,"19.1787635, -96.2113357"
1476,Central America,2016,1.0,1,,,1.0,,Central America,Guatemala,,"31.355119, -106.049866"
1477,Mediterranean,2016,0.0,459,37.0,1.0,,1.0,Mixed,"Egypt,Ethiopia,Somalia,Sudan,Syrian Arab Republic",Central Mediterranean,"31.5760031, 25.164174"
1478,Mediterranean,2016,3.0,3,,2.0,1.0,,Unknown,Unknown,Central Mediterranean,"33.2086099, 11.2132544"
1479,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.1334908, -103.434484"
1480,Mediterranean,2016,4.0,4,,,,,Unknown,Unknown,Central Mediterranean,"33.2086099, 11.2132544"
1481,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,,"29.5056218, 33.9750461"
1482,Central America,2016,1.0,1,,,1.0,,Central America,Honduras,,"17.4520957, -91.4563122"
1483,Western Asia,2016,1.0,1,,,1.0,1.0,Western Asia,Syrian Arab Republic,Syria to Türkiye,"35.9982152, 36.5208678"
1484,Mediterranean,2016,1.0,1,,1.0,,1.0,Western Asia,Syrian Arab Republic,Eastern Mediterranean,"37.7245805, 26.6778283"
1485,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.0895263, 36.31663"
1486,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"20.5754102, 32.4381898"
1487,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.5252595, 33.2973288"
1488,Mediterranean,2016,,6,,,,,Sub-Saharan Africa (P),"Cameroon,Côte d'Ivoire,Gambia,Mauritania,Unknown",Western Mediterranean,"36.7489322, -3.5275532"
1489,Western Asia,2016,2.0,2,,1.0,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.6957086, 36.6177616"
1490,Mediterranean,2016,8.0,32,108.0,,,,Mixed,Unknown,Central Mediterranean,"35.5012182, 12.5050901"
1491,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.713283, -112.832183"
1492,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"6.773055, 39.4434898"
1493,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"8.476128, 47.3474798"
1494,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5015341, 32.5025561"
1495,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"-1.6779613, 35.1831035"
1496,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.4022552, 27.9053789"
1497,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.285107, 31.5204557"
1498,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.5360042, 36.9058599"
1499,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.0807378, 36.3482165"
1500,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"22.3202209, 31.5462804"
1501,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"30.0469989, 31.2162332"
1502,Northern Africa,2016,5.0,5,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"21.8240759, 31.2606253"
1503,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.5252595, 33.2973288"
1504,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5015341, 32.5025561"
1505,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.4022552, 27.9053789"
1506,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.285107, 31.5204557"
1507,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.4022552, 27.9053789"
1508,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1509,Central America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"29.0742604, -110.9591883"
1510,Central America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.0525676, -98.3662434"
1511,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"14.9267823, -92.5947624"
1512,Central America,2016,1.0,1,,,1.0,,Central America,Mexico,,"29.1625119, -111.1570932"
1513,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"35.646973, 36.6679377"
1514,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.0975296, 36.2314017"
1515,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.657333, -112.754"
1516,Mediterranean,2016,,3,1.0,,,,Northern Africa,Unknown,Western Mediterranean,"36.7271909, -2.1652845"
1517,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.376354, -98.3833477"
1518,Northern Africa,2016,13.0,13,19.0,,,,Northern Africa,Egypt,Sahara Desert crossing,"31.7602016, 13.9776971"
1519,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.0895263, 36.31663"
1520,Western Asia,2016,1.0,1,,1.0,,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.6013358, 36.57653"
1521,Mediterranean,2016,0.0,84,26.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.7703544, 12.376176"
1522,Mediterranean,2016,2.0,20,105.0,,,,Sub-Saharan Africa,"Côte d'Ivoire,Guinea,Mali,Nigeria,Sudan",Central Mediterranean,"33.4165331, 16.2301914"
1523,Mediterranean,2016,0.0,9,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.4165331, 16.2301914"
1524,Central America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"24.215586, -99.4332699"
1525,Northern Africa,2016,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"19.6438237, 24.4293268"
1526,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"19.6438237, 24.4293268"
1527,Western Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"22.73438554, 12.9393314082"
1528,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"27.790343, 0.7675956"
1529,Western Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"22.73438554, 12.9393314082"
1530,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"31.71818076, 14.0275834707"
1531,Northern Africa,2016,5.0,5,,,,,Unknown,Unknown,Sahara Desert crossing,"21.66345033, 24.3948820938"
1532,Eastern Africa,2016,5.0,7,,5.0,,2.0,Eastern Africa,Madagascar,,"-12.8209326, 45.0189863"
1533,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6376735, -100.5282163"
1534,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"24.215586, -99.4332699"
1535,Mediterranean,2016,1.0,1,,,,1.0,Unknown,Unknown,Western Mediterranean,"35.2862703, -2.9508781"
1536,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.088883, -111.394867"
1537,Central America,2016,1.0,1,,,1.0,,Central America,Mexico,,"27.9616696, -110.8172071"
1538,South-eastern Asia,2016,2.0,2,8.0,1.0,1.0,,Southern Asia,Myanmar,,"14.0193696, 99.5297976"
1539,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.4505102, 38.9514836"
1540,Mediterranean,2016,1.0,1,,,,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"36.7372715, -4.1006304"
1541,Europe,2016,1.0,1,,,1.0,,Southern Asia,Pakistan,English Channel to the UK,"50.9518803, 1.8339367"
1542,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"18.2681566, -95.8969461"
1543,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.4505102, 38.9514836"
1544,Western Asia,2016,1.0,1,,1.0,,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.4505102, 38.9514836"
1545,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.0227822, -98.5412384"
1546,Northern Africa,2016,10.0,20,29.0,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"26.8368827, -15.7939791"
1547,Mediterranean,2016,1.0,1,,,1.0,,Northern Africa,Algeria,Western Mediterranean,"35.8953846, -5.3348172"
1548,Central America,2016,1.0,1,,,1.0,,Central America,El Salvador,,"16.474502, -93.2534811"
1549,North America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.0227822, -98.5412384"
1550,Northern Africa,2016,,57,,,,,Western Africa,"Côte d'Ivoire,Guinea",Western Africa / Atlantic route to the Canary Islands,"26.3910415, -16.4101361"
1551,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"33.0249505, -115.8450245"
1552,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"20.6706756, 24.074248"
1553,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"19.54641, -99.2352955"
1554,Central America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"30.7293161, -112.8733526"
1555,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"20.7308748, 30.790269"
1556,Northern Africa,2016,6.0,6,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.5252595, 33.2973288"
1557,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2145083, 32.2240182"
1558,Central America,2016,1.0,1,,,1.0,,Caribbean,Haiti,,"11.2080851, -85.6249572"
1559,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.963317, -112.38265"
1560,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.846587, -112.134454"
1561,Central America,2016,1.0,1,,,1.0,,Southern Asia,Nepal,,"9.3674413, -83.7054962"
1562,Mediterranean,2016,1.0,1,,,1.0,,Northern Africa,Egypt,Central Mediterranean,"31.3199879, 30.3385031"
1563,Mediterranean,2016,1.0,1,,,1.0,,Eastern Africa,Somalia,Central Mediterranean,"31.3199879, 30.3385031"
1564,Western Asia,2016,1.0,1,,,,1.0,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.681792, 36.623154"
1565,Central America,2016,1.0,1,,,1.0,,Central America,El Salvador,,"27.9610814, -110.8103048"
1566,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"9.3128486, 42.1006391"
1567,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"14.0316722, 35.3417723"
1568,North America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.0227822, -98.5412384"
1569,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.278367, -111.718933"
1570,Mediterranean,2016,,45,,7.0,,,Unknown,Unknown,Western Mediterranean,"35.4441324, -4.0708137"
1571,Central America,2016,1.0,1,,,1.0,,Unknown,Unknown,,"11.2080851, -85.6249572"
1572,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1573,Eastern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,,"-9.374176, 39.2070265"
1574,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.5252595, 33.2973288"
1575,Central America,2016,1.0,1,,,1.0,,Central America,El Salvador,,"14.8982055, -92.3346656"
1576,Central America,2016,1.0,1,,,1.0,,Central America,El Salvador,,"14.8206001, -92.6428276"
1577,Northern Africa,2016,9.0,9,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5015341, 32.5025561"
1578,Western Asia,2016,2.0,2,,,2.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.0895263, 36.31663"
1579,Mediterranean,2016,0.0,10,,,,,Unknown,Unknown,Central Mediterranean,"39.9914242, 9.1242291"
1580,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"21.9441769, 30.4450768"
1581,Northern Africa,2016,5.0,5,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"24.7461059, 32.5986886"
1582,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"21.8240759, 31.2606253"
1583,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"19.4022552, 27.9053789"
1584,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1585,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"0.5134967, 42.0688284"
1586,North America,2016,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"27.7155889, -99.6987461"
1587,Western Asia,2016,1.0,1,,,,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.6637682, 36.9013715"
1588,North America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.35183, -112.959916"
1589,Central America,2016,1.0,1,1.0,,1.0,,Central America,Guatemala,,"15.3421711, -92.6855944"
1590,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.0975296, 36.2314017"
1591,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"18.2681566, -95.8969461"
1592,Mediterranean,2016,4.0,4,,4.0,,,Unknown,Unknown,Central Mediterranean,"35.1025073, 12.135376"
1593,Central America,2016,1.0,1,,,1.0,,Central America,Honduras,,"29.322646, -101.0053844"
1594,Central America,2016,1.0,1,,,,1.0,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.1334908, -103.434484"
1595,Caribbean,2016,,10,19.0,,,,Caribbean,Cuba,,"25.03552427, -77.5322358105"
1596,Mediterranean,2016,6.0,6,139.0,1.0,,,Unknown,Unknown,Central Mediterranean,"36.9174776, 14.5143211"
1597,Mediterranean,2016,5.0,255,460.0,,,,Sub-Saharan Africa (P),"Morocco,Unknown",Central Mediterranean,"32.7610231, 12.6998943"
1598,Mediterranean,2016,133.0,550,87.0,75.0,36.0,46.0,Mixed,"Côte d'Ivoire,Eritrea,Gambia,Nigeria,Somalia,South Sudan",Central Mediterranean,"33.050577, 12.059376"
1599,Mediterranean,2016,,9,,,,,Unknown,Unknown,Central Mediterranean,"36.9174776, 14.5143211"
1600,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.82115, -110.18449"
1601,Mediterranean,2016,1.0,1,526.0,,,,Unknown,Unknown,Central Mediterranean,"36.9174776, 14.5143211"
1602,North America,2016,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"28.3084446, -99.1595269"
1603,Mediterranean,2016,,47,78.0,,,,Mixed,Unknown,Central Mediterranean,"32.7703544, 12.376176"
1604,Mediterranean,2016,1.0,1,340.0,,,,Unknown,Unknown,Central Mediterranean,"35.1025073, 12.135376"
1605,Europe,2016,1.0,1,,,1.0,,Southern Asia,Afghanistan,English Channel to the UK,"50.9518803, 1.8339367"
1606,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.7207029, 39.6232695"
1607,Mediterranean,2016,45.0,245,625.0,,,,Mixed,Unknown,Central Mediterranean,"35.1025073, 12.135376"
1608,Central America,2016,1.0,1,10.0,1.0,,,Central America,El Salvador,,"18.2681566, -95.8969461"
1609,North America,2016,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"26.376354, -98.3833477"
1610,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.6659773, -115.4163051"
1611,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.26801, -112.49766"
1612,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.8051, -112.12413"
1613,North America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.796, -111.5738"
1614,Central America,2016,1.0,1,,1.0,,,Central America,Honduras,,"27.1334908, -103.434484"
1615,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"27.0663171, 14.3336145"
1616,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"27.0663171, 14.3336145"
1617,Northern Africa,2016,3.0,3,,,,,Unknown,Unknown,Sahara Desert crossing,"29.9834835, 19.1499472"
1618,Western Africa,2016,3.0,3,,,,,Unknown,Unknown,Sahara Desert crossing,"22.084213, 12.726871"
1619,Western Africa,2016,3.0,3,,,,,Unknown,Unknown,Sahara Desert crossing,"22.084223, 12.726884"
1620,Western Africa,2016,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"21.82621055, 10.806275375"
1621,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"31.79351612, 13.9760850576"
1622,Northern Africa,2016,2.0,2,,,,,Unknown,Unknown,,"32.78054234, 12.4749279838"
1623,Western Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"22.0707713, 12.300416"
1624,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,,"32.7630282, 12.7227632898"
1625,Europe,2016,1.0,1,6.0,,1.0,,Western Asia,Syrian Arab Republic,Western Balkans,"46.0297665, 20.0220261"
1626,North America,2016,1.0,1,,,1.0,,Central America,Guatemala,US-Mexico border crossing,"31.765067, -111.625183"
1627,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,,"29.5056218, 33.9750461"
1628,North America,2016,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"32.34286, -113.303"
1629,North America,2016,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"26.376354, -98.3833477"
1630,Mediterranean,2016,10.0,339,318.0,,,,Mixed,"Comoros,Egypt,Eritrea,Ethiopia,Sudan",Central Mediterranean,"35.3445284, 25.1847692"
1631,North America,2016,1.0,1,,1.0,,,Central America,Mexico,US-Mexico border crossing,"32.43673, -114.42545"
1632,Central America,2016,1.0,1,,,1.0,,Central America,Honduras,,"18.1404396, -93.4512256"
1633,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.3503337, 32.4374949"
1634,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"12.6655659, 28.9006937"
1635,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.918734, -112.100464"
